source_file,status,title,classification,employer,location,employment_type,salary_compensation,experience,required_education,date_closed,date_other,description,duties,required_skills_qualifications,desired_skills_qualifications,required_physical,benefits
amnh-archives-intern-2022.pdf,ok,Archive Intern,Not specified,American Museum of Natural History (AMNH),"New York, NY (on-site only)","Part-time, Internship",$25.00/hour; overtime eligible; stipend provided as support over the internship period,Not specified,"Enrolled in, or a recent graduate of, a Library and Archives graduate program, or enrolled in an undergraduate or graduate Paleontology program with experience working in an archive collection",Not specified,2023-01-02 (application deadline explicitly stated as 'no later than Tuesday January 2nd 2023'),"The Archive Intern will participate in an IMLS-funded project to catalog the Vertebrate Paleontology Archive in order to broaden access to the collection. The intern will work in a team of two, under the supervision of the Project Archivist and AMNH collections and Research Library staff, on processing tasks to meet the goals of the work plans set for various areas of the project.","Cataloging unprocessed materials | Assisting with the creation of finding aids | Working through materials to flag them for future conservation, re-housing and digitization in future grant projects | Contributing to social media outreach","Enrolled in, or a recent graduate of, a Library and Archives graduate program, or enrolled in an undergraduate or graduate Paleontology program with experience working in an archive collection | Proficiency in the use of Mac- and PC-based software | Good organizational skills | Excellent interpersonal skills | Ability to work independently | Awareness and interest in current developments of data standards, trends and emerging technologies in the field of archives and records management | Comfort taking the initiative in new settings and knowing when to ask adept questions",Experience working in museum collections a plus | Preference may be given to candidates who can commit to more than one consecutive semester,Ability to climb stairs and ladders | Lift 30 lbs.,Stipend provided as support over the internship period
amherst-museum-tech-2023.pdf,ok,Museum Technician,Not specified,Amherst College,"Amherst, Massachusetts, USA; on-site",Part-time,$24.00/hour,"Preferred: 2 years of experience working in museum preparation, conservation or collections care or comparable experience",Required: High school diploma or equivalent | Preferred: Associate's degree or higher,Not specified,"2023-08-05 (estimated from posting date of 2023-07-14, which is 11 days before the document capture date of 2023-07-25; position open until filled)","Amherst College invites applications for the position of Museum Technician at the Beneski Museum of Natural History. This is a part-time (16 hours per week), casual hourly position, starting at $24.00/hour, without benefits. Under the direction of the Head of Collections and Operations, the Museum Technician provides support in the upkeep, preparation, and maintenance of the museum's three floor exhibit hall. The Technician assists with specimen storage, specimen cataloging, loan packing, and environmental monitoring.","Routine exhibit cleaning and maintenance of the displays and gallery spaces | Scheduling, planning, and executing rotating cleaning of geological and paleontological specimens within the three-floor exhibit hall | Design, fabrication, and adjustment of object mounts for display, storage, and loan | Preparation of specimens for use in college classes, loans and display | Environmental monitoring including Integrated Pest Management (IPM) and Temp/RH monitoring in the galleries and collection storage areas","High school diploma or equivalent | Strong written and verbal, interpersonal, organizational, and time management skills | Attention to detail | Ability to safely handle delicate objects; excellent manual dexterity | Ability to work independently and as a part of a team","Associate's degree or higher | 2 years of experience working in museum preparation, conservation or collections care or comparable experience | Carpentry, plexiglass fabrication, metal fabrication, machining and/or mechanical skills; experience with small power tools",Ability to safely handle delicate objects; excellent manual dexterity,"Many opportunities for professional growth and development, continued learning, and career advancement"
amnh-archivist-2023.pdf,ok,Archivist,Not specified,American Museum of Natural History,"New York, NY (on-site)",Part-time,$28.00/hour – $33.00/hour; overtime eligible,"At least two years professional archival processing experience, preferably in a museum or academic setting","Enrolled in, or a graduate of, an ALA-accredited master's degree in library and information science or equivalent, with formal training in archival theory and practice",Not specified,"2023-04-21 (estimated from application deadline stated in posting: 'For best consideration, applications should be received no later than April 21, 2023')","The Archivist will participate in the day-to-day care of the Vertebrate Paleontology Archive, and in an IMLS-funded project to catalog the Vertebrate Paleontology Archive in order to broaden access to the collection.",Assessing and analyzing unprocessed materials | Creating and updating catalog records | Creating finding aids | Selecting and documenting materials for future conservation | Performing basic preservation work | Responding to researchers' inquires for information from the Archive | Assisting visitors to the Archive collection | Other duties as assigned,"Applicants should be enrolled in, or a graduate of, an ALA-accredited master's degree in library and information science or equivalent, with formal training in archival theory and practice, and have at least two years professional archival processing experience, preferably in a museum or academic setting | Demonstrated success in arranging, describing, and processing archival collections, writing finding aids while leveraging legacy arrangement and description | Experience working with physical archives, especially delicate physical collections, experience with flat files, maps, and/or art | Familiarity with basic preservation of archival materials, including proper handling, housing, and storage | Proficiency working in archival content management systems, such as ArchivesSpace with knowledge of archival description standards, including DACS, EAD, EAC | Proficiency in the use of PC and Mac based software | Ability to work well both independently and in a collaborative environment | Strong written, verbal, and interpersonal communication skills | Excellent organizational skills including accuracy and a strong attention to detail","Comfort taking the initiative in new settings and knowing when to ask adept questions | Experience managing support staff, interns, or volunteers in archive setting | Experience with or interest in digitization projects | Awareness of current developments, trends and emerging technologies in the field of archives and records management | Experience working in museum collections and/or scientific archives is a plus",Ability to climb ladders and stairs | Ability to lift and carry 30lbs,Not specified
amnh-coll-tech-2025.pdf,ok,Imaging and Georeferencing Technician,Not specified,American Museum of Natural History,"New York, NY (on-site, Museum campus)","Full-time, Term (approximately two years)","$52,000/annual (overtime-eligible)",Two years experience with digital photography and imaging software (required) | Extensive experience imaging museum specimens and working with georeferencing software (preferred),High School Diploma or equivalent,Not specified,2025-07-18 (estimated from posting open date of 04/18/2025; listed as open until filled),"The Ornithology department is seeking a full-time Imaging and Georeferencing Technician to help capture and digitize specimen data as part of the NSF-funded award ""Rehousing and expanding access to the type and rare bird collection, American Museum of Natural History."" Specifically, the Technician will image non-passerine-type specimens and georeference the rare bird room collection. They will work closely with Ornithology staff to ensure multiple project goals are simultaneously met. This position is expected to last for a term of approximately two years.","Digitally image the non-passerine-type collection (2,524 specimens), taking photos of the dorsal, ventral and lateral sides, using a color standard. This will occur during the process of rehousing the collection in new cabinetry and the data will be uploaded to an AMNH database for public distribution. | Georeference and digitize metadata from the rare bird and type collection, containing approximately 11,898 specimens. Follow a pipeline that will involve taking smartphone photos of specimen labels (front and back) and uploading to Google Photos. Use georeferencing software to determine the approximate coordinates where a specimen was collected. Digitize species IDs, AMNH numbers, locality and other data, cross-referencing it with the Museum's database. Extract data from PDFs and upload it into an AMNH database. After data capture, the technician will work with Ornithology staff to ensure specimens are organized by taxonomic sequence and rehoused in new cabinets.",High School Diploma or equivalent. | Two years experience with digital photography and imaging software.,"Bachelor's degree in biology, visual art, photography, information science or another related field. | Experience with museum specimens and geography. | Extensive experience imaging museum specimens and working with georeferencing software.",Must be able to remain in a stationary position (sitting or standing) for prolonged periods. | Must be able to occasionally lift up to 20 pounds. | Must be able to move about the Museum campus. | Positioning/change of positioning: Must be able to frequently position oneself/body to accomplish job duties. | Balancing: Maintaining body equilibrium to prevent falling. | Climbing: Ascending or descending physical structures. | Exerting up to 50 pounds of force occasionally and up to 20 pounds of force frequently.,Extensive benefits package designed to meet the needs of our dedicated and diverse community.
amnh-archivist-vp-2021.pdf,ok,Project Archivist,Not specified,American Museum of Natural History (AMNH),"New York, NY (on-site)","Full-time, Term (12 months with possibility of extension)",Not specified,"At least two years professional archival processing experience, preferably in a museum or academic setting","ALA-accredited Master's degree in library and information science or equivalent, with formal training in archival theory and practice",2021-11-29,Not specified,"The Project Archivist will participate in an IMLS-funded project to broaden access to the Vertebrate Paleontology archives. Working with AMNH collections and Research Library staff, the archivist will participate in the management activities of the project which includes supervising of two graduate student interns and maintaining project metrics. The archivist will work collaboratively with the AMNH collections and Research Library staff to develop basic catalog records for the majority of the collections and Encoded Archival Description (EAD) finding aids for a select number. They will also provide outreach through social media.","Creating work plans, assessing, analyzing, and suggesting arrangement schemes for unprocessed materials | Writing finding aids for collections selected during the grant project and creating basic records for others | Performing basic preservation work such as unfolding and flattening documents and transferring material to new, acid-free folders and boxes | Flagging material in the Archives for future re-housing and conservation efforts | Supervising two graduate student interns | Maintaining project metrics | Providing outreach through social media","ALA-accredited Master's degree in library and information science or equivalent, with formal training in archival theory and practice, and at least two years professional archival processing experience, preferably in a museum or academic setting | Demonstrated ability to coordinate, and implement complex projects; including experience developing successful project and processing plans, setting goals, establishing timelines, and reporting on milestones and outcomes | Demonstrated success in arranging, describing, and processing archival collections, writing finding aids while leveraging legacy arrangement and description | Experience and comfort working with delicate physical collections | Proficiency working in archival content management systems, such as ArchivesSpace with knowledge of archival description standards, including DACS, EAD, EAC","Experience with scientific archives is a plus | Experience with flat files, maps, and/or art a plus | Comfort taking the initiative in new settings and knowing when to ask adept questions | Ability to work well both independently and in a collaborative environment | Strong written, verbal, and interpersonal communication skills | Excellent organizational skills including accuracy and a strong attention to detail | Experience managing support staff, interns, or volunteers in archive setting | Familiarity with basic preservation of archival materials, including proper handling, housing, and storage | Experience with or interest in digitization projects | Awareness of current developments, trends and emerging technologies in the field of archives and records management",Able to climb ladders and stairs,Not specified
amnh-cur-asst-ich-2023.pdf,ok,Curatorial Associate,Not specified,American Museum of Natural History,"Not specified (on-site implied; New York, NY based on AMNH)",Full-time,"$80,000 – $86,000/annual",Previous experience in systematics and the diversity of fishes (required) | Previous research experience in ichthyology and/or previous experience in management of museum collections of fishes (preferred),Ph.D. in zoological sciences,Not specified,2023-04-07 (estimated from posting open date of 01/07/2023; position listed as open until filled),"The Curatorial Associate (CA) for Ichthyology is a Ph.D.-level ichthyologist (non tenure-track) who leads and manages the support staff and curation operations for the largest and most rapidly growing of the Museum's vertebrate collections. Reporting to the curator-in-charge, the CA works with the curators and museum specialists to manage the ichthyology collection of Recent fishes of more than 3.2 million specimens, facilities, and operations inclusive of space, infrastructure, storage, equipment, collections management, databases, and informatics program. The CA will collaborate with a permanent staff of three experienced full-time museum specialists and will oversee and facilitate departmental fieldwork, collecting, processing new acquisitions, loans, visitors, stewardship, pest management, annual reporting and compliance with federal permitting, wildlife transactions, and museum policy. The CA will work with the curators to seek external support for collections improvement, digitization of collections, fieldwork, research opportunities, and other initiatives as assigned.","Ensure the stewardship of the collections, their care and preservation, at levels that meet or exceed disciplinary and/or Museums standards. | Supervise and collaborate with the departmental Museum Specialists, assign tasks, manage effort, monitor performance. | Manage the use and upkeep of departmental spaces, labs, facilities, supplies and equipment. | Direct collections management operations, working with the curators to develop and meet short- and long-range objectives; seek and implement efficiencies where feasible. | Maintain the collections informatics programs, systems, databases, integrity and security of data, paper and other forms of archival records management. Promote discoverability of the collections, access to catalog records and digital assets via internal and external mechanisms. | Oversee and direct annual collections reporting and other administrative directives as assigned. | Train staff and volunteers on operations and use of equipment and facilities | Supervise departmental service to internal and external user communities. | Manage the department website. | Manage visitation to the collections, tours, participate in promotional and outreach activities. | Manage incoming and outgoing loan activities, shipping/receiving, permitting, wildlife transaction reporting and compliance. | Work with the department administrator, curators, and other museum offices on purchasing and budget management. | Manage volunteers and their efforts, train staff and volunteers on operations and use of equipment and facilities. | Supervise departmental service to internal and external user communities. | Serve as departmental safety liaison, fire evacuation warden. | Work with curators, development office, and administration to acquire external funding for fieldwork, collections improvement, digitization of collections, research opportunities, and new programs in collections management. | Other administrative duties as assigned.",Ph.D. in zoological sciences. | Previous experience in systematics and the diversity of fishes.,Previous research experience in ichthyology and/or previous experience in management of museum collections of fishes.,Not specified,Extensive benefits package designed to meet the needs of our dedicated and diverse community.
amnh-curatorial-asst-2022.pdf,ok,Curatorial Assistant,Not specified,American Museum of Natural History,"New York, NY, USA (on-site)",Full-time,"$48,000/annual (minimum and maximum); position is overtime eligible","Previous experience with museum collections required; previous work in a biological laboratory, museum collections, or relevant work preferred","Bachelor's degree in biological science, environmental science, or any relevant science discipline",Not specified,"2023-02-16 (estimated from open date of 2022-11-16; posting is open until filled, so closure date is unknown — rough estimate based on typical hiring timelines)","The Ambrose Monell Cryo Collection (AMCC) at the American Museum of Natural History is an accessible repository of frozen tissue specimens, collected and maintained under rigorously controlled conditions. The AMCC is seeking a full-time Curatorial Assistant for its Bio-safety Level 2 laboratory. The successful candidate will prepare incoming donations and deposits of biological specimens for cryogenic preservation in the AMCC and prepare tissue subsamples for research loans while keeping accurate and responsible records of these activities.","Physical preparation of incoming biological specimens for cryogenic preservation and preparation of tissue subsamples for research loans INCLUDING: proper specimen inventory, handling, labeling, transferring. | Working safely with Liquid Nitrogen vapor freezers and cryogenic storage dewars | Record keeping in specified paper and electronic forms | Ensuring that all safety guidelines in the laboratory are always followed strictly | Maintaining a clean and orderly environment. | Laboratory and equipment organization and maintenance","Bachelor's degree in biological science, environmental science, or any relevant science discipline. | Previous experience with museum collections. | Proficiency with Microsoft Office (i.e., Word, Excel, and Access) | Experience with collection's database relational programs (i.e., Emu).","Previous work in a biological laboratory, museum collections, or relevant work. | Some molecular laboratory experience is desirable. | Familiarity and understanding of sterile technique are highly preferred. | Meticulous attention to detail. | Strong writing, communication, and organizational skills.","The ability to move and carry up to 30lbs, balance and climb on stairs with large items, stoop, kneel or bend to pick up or move scientific supplies or equipment.",Extensive benefits package designed to meet the needs of our dedicated and diverse community (specific benefits not detailed in posting)
amnh-herp-coll-mgr-2022.pdf,ok,Museum Specialist,Not specified,American Museum of Natural History,"New York, NY 10024 — on-site",Full-time,Not specified,Relevant work experience (preferred),Bachelor's degree in biology or related field,Not specified,2023-01-27 (estimated from posting open date of 10/27/2022; position listed as open until filled),"The Museum Specialist will assist in the care of the Department of Herpetology's collection of reptile and amphibian specimens, which includes substantial alcohol-preserved specimens, dry osteological holdings, tissue samples, and other material.","Care of the Department of Herpetology's collection of reptile and amphibian specimens | Cataloging | Specimen data management | Loans including IATA and USFW compliance | Specimen photography | Specimen preparation including tissue samples | Laboratory maintenance including safety compliance, supply procurement, and waste management | Archive and library management | Staff and visiting scientist assistance | Related tasks",Bachelor's degree in biology or related field,"Relevant work experience | Working knowledge of herpetological taxonomy | Good organizational skills and attention to details | Databasing experience, fine manual dexterity skills | Good command of MS Word, Adobe and Excel",Not specified,Not specified
amnh-db-mgr-2022.pdf,ok,Database Manager for Collections,Not specified,American Museum of Natural History (AMNH),"New York, NY (on-site assumed)",Full-time,Not specified,Minimum of two (2) years relevant experience as a collections manager and/or database administrator (if natural sciences bachelor's degree path),"Bachelor's degree in computer science, information technology, or similar field required OR a bachelor's degree in the natural sciences combined with a minimum of two (2) years relevant experience as a collections manager and/or database administrator with SQL, Apache, Linux, macOS and Windows operating system familiarity.",Not specified,"2023-03-20 (estimated from posting open date of 09/20/2022; position listed as open until filled, so closure date is unknown — rough estimate based on typical hiring cycles)","The Database Manager for Collections (DMC) is a key, founding member of an interdivisional team responsible for leading and managing the AMNH research collections databases, informatics systems, and programs. The DMC reports to the Dean of Science for Collections and provides a critical resource to the division chairs, curators, collections management staff, Registrars, and other Museum departments in building, maintaining, troubleshooting, training, using, and enhancing the AMNH collections databases throughout Science (including the primary EMu system plus any existing or future system deployments).","Managing collections informatics at AMNH | Liaising with external software and hardware vendors on maintenance contracts, system upgrades, data migrations, deployment of new features | Establishing and leveraging relationships with other informatics and technology practitioners and groups across the museum | Leveraging central IT services and expertise to lower costs and benefit the collections | Leading strategic efforts in raising funds in support of new and on-going needs, the digitization of collections, short and long-term collections improvement projects involving informatics | Conceiving and writing grant proposals to NSF, IMLS, DOD, and other agencies | Ensuring the security and integrity of the database systems and resources | Implementing Trustee Collections Policy requirements and other administration directives | Ensuring adherence to accepted institutional and disciplinary data standards across the AMNH environment | Ensuring availability and utilization of collections database functionality | Ensuring public access to collections information | Staff training | Seat licensing | Coordinating with division chairs, divisional curatorial associates and collections managers, staff in Information Technology (IT) and elsewhere, and the office of the Dean of Science for Collections","Bachelor's degree in computer science, information technology, or similar field OR a bachelor's degree in the natural sciences combined with a minimum of two (2) years relevant experience as a collections manager and/or database administrator | SQL familiarity | Apache familiarity | Linux operating system familiarity | macOS operating system familiarity | Windows operating system familiarity","Advanced degree | Previous experience with digitization of collections, common digitization protocols and best practices related to transcription, imaging, and georeferencing | Familiarity with Digital Asset Management Systems and how they interact with collections databases | Familiarity with collections data aggregators such as iDigBio, GBIF | Experience with Axiell EMu collections management systems",Not specified,Not specified
amnh-mus-specialist-orn-2023.pdf,ok,Museum Specialist,Not specified,American Museum of Natural History (AMNH),"Not specified (on-site assumed; New York, NY based on AMNH)",Full-time,"$42,970/annual",Relevant work experience preferred,Bachelor's degree in biology or related field,Not specified,2023-06-08 (estimated from posting open date of 03/08/2023; position listed as open until filled),"The Museum Specialist will assist in the care of the Department of Ornithology bird collection. The collection includes skin, fluid, and osteological specimens, eggs and nests, genetic resources, and archives. Responsibilities include collection care; cataloging; specimen data management and databasing; specimen photography; fieldwork and specimen preparation; processing loans; integrated pest management; staff and visiting scientist assistance; and related tasks.",Collection care | Cataloging | Specimen data management and databasing | Specimen photography | Fieldwork and specimen preparation | Processing loans | Integrated pest management | Staff and visiting scientist assistance | Related tasks,Bachelor's degree in biology or related field,"Relevant work experience | Knowledge of avian taxonomy and systematics, field experience with birds, and familiarity with world geography | Good organizational skills and attention to detail | Databasing experience | Good command of MS Word, Excel and Adobe Acrobat | Experience with bird specimen preparation",Not specified,Extensive benefits package designed to meet the needs of our dedicated and diverse community | Overtime eligible
